file	line	visibility	kind	name	signature
language/formatter/src/format/chain/line_group.rs	70	private	type	ChainOperationIter	type ChainOperationIter = std::iter::Peekable<std::vec::IntoIter<ChainExpression>>;
language/formatter/src/format/analysis/timing.rs	10	pub	struct	FormatterTimingTag	pub struct FormatterTimingTag {
language/formatter/src/format/analysis/timing.rs	28	pub	struct	FormatterTimingEntry	pub struct FormatterTimingEntry {
language/formatter/src/format/analysis/timing.rs	39	pub	struct	FormatterTimings	pub struct FormatterTimings {
language/formatter/src/format/analysis/timing.rs	67	pub	enum	FormatterTimingScope	pub enum FormatterTimingScope {
language/formatter/src/format/chain/normalize.rs	39	private	struct	ChainRootParts	struct ChainRootParts {
language/formatter/src/format/chain/normalize.rs	45	private	struct	NormalizedChainLayout	struct NormalizedChainLayout {
language/formatter/src/format/chain/normalize.rs	101	pub	struct	ChainLayoutPlan	pub(super) struct ChainLayoutPlan {
language/formatter/src/format/analysis/call/classify.rs	7	pub	struct	ArgumentSimplicityOptions	pub(crate) struct ArgumentSimplicityOptions {
language/formatter/src/format/analysis/call/layout.rs	67	pub	struct	SingleSimpleArgumentFastPathOptions	pub(crate) struct SingleSimpleArgumentFastPathOptions {
language/formatter/src/format/analysis/call/layout.rs	80	pub	struct	CallArgumentShape	pub(crate) struct CallArgumentShape {
language/formatter/src/format/analysis/call/layout.rs	102	private	struct	CallArgumentLayoutScanState	struct CallArgumentLayoutScanState {
language/formatter/src/format/analysis/call/layout.rs	502	pub	struct	SingleSimpleArgumentInlineOptions	pub(crate) struct SingleSimpleArgumentInlineOptions {
language/formatter/src/format/analysis/call/layout.rs	553	pub	struct	CallArgumentPlannerBaseState	pub(crate) struct CallArgumentPlannerBaseState {
language/formatter/src/format/analysis/call/layout.rs	566	pub	struct	CallArgumentPlannerState	pub(crate) struct CallArgumentPlannerState {
language/formatter/src/format/analysis/call/layout.rs	613	pub	enum	HugLastCallArgumentLayout	pub(crate) enum HugLastCallArgumentLayout {
language/formatter/src/format/analysis/call/layout.rs	827	pub	enum	CallArgumentLayoutDecision	pub(crate) enum CallArgumentLayoutDecision {
language/formatter/src/format/analysis/call/layout.rs	845	pub	struct	CallArgumentLayoutRenderState	pub(crate) struct CallArgumentLayoutRenderState {
